Ticker,Price,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,Value Score,Number of Shares to Buy
UNM,29.04,7.77,0.133,0.56,0.087,0.46,0.022,3.6,0.048,0.43,0.01,0.06,83358
MCK,195.8,-7.06,0.099,-1507.2,0.004,0.13,0.01,7.57,0.093,2.61,0.105,0.062,12363
AIV,195.81,-76.61,0.024,2.03,0.299,-31.76,0.002,-44.29,0.008,-53.16,0.006,0.068,343852
AIG,195.82,-11.09,0.087,0.67,0.091,0.96,0.085,6.09,0.065,0.94,0.026,0.071,49911
L,195.83,-409.9,0.004,0.88,0.099,1.04,0.099,8.29,0.135,1.02,0.028,0.073,42738
HFC,195.84,-35.78,0.048,1.02,0.112,0.48,0.026,8.29,0.137,2.82,0.117,0.088,70781
AAL,195.85,-1.51,0.119,-1.75,0.083,1.09,0.103,-3.82,0.038,3.18,0.143,0.097,107396
ABC,196.84,-6.39,0.103,-87.96,0.01,0.12,0.008,8.51,0.152,4.3,0.212,0.097,20549
HPQ,195.86,11.43,0.184,-11.28,0.032,0.61,0.042,8.2,0.127,3.27,0.147,0.106,77836
ALL,195.87,12.05,0.192,1.65,0.204,0.88,0.073,2.49,0.042,0.84,0.022,0.107,17512
BA,195.88,-11.82,0.083,-7.78,0.073,2.56,0.366,-19.14,0.02,-42.02,0.008,0.11,9934
HIG,195.89,13.29,0.22,1.34,0.161,1.07,0.101,5.65,0.059,1.07,0.032,0.115,38706
T,195.9,-86.69,0.022,1.28,0.145,1.23,0.13,7.11,0.079,4.14,0.206,0.116,79997
PFG,195.91,11.1,0.178,1.13,0.115,1.28,0.143,7.86,0.111,1.25,0.04,0.117,37900
FTI,195.92,12.9,0.206,1.18,0.127,0.38,0.016,4.11,0.05,3.76,0.188,0.117,248279
STX,195.93,22.19,0.406,0,0.085,0,0.004,2.93,0.044,1.44,0.05,0.118,27573
VIAC,195.94,10.08,0.156,1.5,0.183,1.1,0.105,7.68,0.103,1.52,0.053,0.12,53555
AFL,195.95,7.28,0.131,1.2,0.132,1.6,0.205,7.2,0.083,1.94,0.075,0.125,43444
GM,195.96,9.67,0.149,1.82,0.253,0.72,0.059,3.23,0.046,2.85,0.123,0.126,39182
C,195.97,9.96,0.152,0.81,0.095,1.79,0.245,5.92,0.063,1.96,0.079,0.127,32805
PRU,195.98,15.43,0.259,0.72,0.093,0.68,0.05,10.57,0.23,0.65,0.014,0.129,22535
CVS,195.99,15.17,0.253,1.56,0.192,0.42,0.02,8.5,0.15,1.5,0.051,0.133,28412
TAP,195.1,-15.7,0.073,0.94,0.103,1.24,0.134,8.14,0.121,4.91,0.242,0.134,43389
DXC,195.101,-71.58,0.032,2.12,0.307,0.61,0.044,8.11,0.117,3.57,0.176,0.135,57898
F,195.94,15.55,0.269,1.73,0.238,0.47,0.024,5.22,0.055,2.92,0.127,0.143,160952
TRV,195.95,13.89,0.232,1.39,0.171,1.22,0.127,9.07,0.164,1.18,0.036,0.146,15895
CINF,195.96,6.44,0.127,1.7,0.222,1.93,0.272,4.92,0.051,1.9,0.071,0.149,19943
LB,195.97,14.81,0.25,-38.67,0.014,1.57,0.2,7.67,0.099,3.9,0.196,0.152,31956
UHS,195.98,12.97,0.21,2.02,0.294,1.13,0.107,8.19,0.123,1.32,0.044,0.155,15279
ZION,195.99,6.6,0.129,1.19,0.129,2.52,0.362,5.24,0.057,2.56,0.103,0.156,45314
GS,195.1,9.73,0.15,1.5,0.183,2.1,0.299,5.87,0.061,2.19,0.087,0.156,6295
AIZ,195.101,23.28,0.43,1.68,0.214,0.98,0.089,2.1,0.04,0.93,0.024,0.159,15321
KSS,195.102,22.4,0.41,1.75,0.24,0.51,0.03,7.16,0.081,1.57,0.055,0.163,42506
COF,195.103,10.43,0.164,1.22,0.136,2.3,0.329,7.61,0.095,2.65,0.107,0.166,15243
GL,195.104,13.97,0.236,1.32,0.154,2.04,0.293,6.71,0.073,2.04,0.083,0.168,24294
RE,195.105,12.49,0.198,1.3,0.15,1.26,0.139,12.56,0.339,1.2,0.038,0.172,9200
NWSA,195.106,-300.39,0.008,1.9,0.269,1.8,0.248,11.87,0.301,1.66,0.061,0.177,89789
PGR,195.107,9,0.143,3.42,0.472,1.35,0.161,6.67,0.071,1.3,0.042,0.178,24224
WRK,195.108,-19.6,0.067,1.32,0.154,0.84,0.071,9.18,0.168,7.44,0.432,0.179,44828
CI,195.109,10.59,0.172,1.7,0.222,0.52,0.034,11.26,0.259,4.38,0.218,0.181,9798
CNC,195.11,18.44,0.315,1.7,0.222,0.38,0.018,12.75,0.347,0.53,0.012,0.183,32100
CB,195.111,13.4,0.224,1.28,0.145,1.9,0.263,10.96,0.242,1.92,0.073,0.189,14688
CFG,195.112,13.3,0.222,0.96,0.105,2.74,0.377,7.86,0.113,3.11,0.137,0.191,51417
PRGO,195.113,-28.54,0.051,1.14,0.117,1.32,0.152,12.55,0.337,5.57,0.301,0.192,50149
WHR,195.114,10.8,0.175,3.3,0.451,0.68,0.048,7.24,0.085,3.94,0.2,0.192,10746
LNC,195.115,19.16,0.335,0.64,0.089,0.69,0.051,16.11,0.473,0.68,0.016,0.193,37218
KR,195.116,20.53,0.364,3.2,0.438,0.22,0.012,8.06,0.115,1.39,0.048,0.195,60852
PHM,195.117,10.38,0.162,2.22,0.323,1.3,0.146,7.49,0.089,5.04,0.261,0.196,43600
WBA,195.118,19.12,0.333,1.96,0.285,0.31,0.014,11.52,0.283,1.95,0.077,0.198,49963
XOM,195.119,-14.58,0.075,1.8,0.25,1.5,0.193,14.2,0.412,1.79,0.063,0.199,36511
TSN,195.12,12.94,0.208,1.71,0.232,0.63,0.046,8.24,0.133,6.7,0.378,0.199,32323
